"x","model","probability","SEmax","SEmin"
-0.49748743718593,"mod4",0.100358820829558,0.134347169381766,0.0742317917161761
-0.49748743718593,"mod1",0.0778715406335828,0.0806897903492707,0.0751436780076062
-0.49748743718593,"mod3",0.086041848401765,0.0988555057584596,0.0747513233758247
-0.467336683417086,"mod4",0.10029253569303,0.134473522663031,0.074056414241004
-0.467336683417086,"mod1",0.0776769114179174,0.080540074374019,0.074907240375261
-0.467336683417086,"mod3",0.0858617261379332,0.0987161716960554,0.0745426976326342
-0.437185929648241,"mod4",0.100226289459194,0.134599976301731,0.0738814180399324
-0.437185929648241,"mod1",0.077482727776891,0.0803906118975958,0.0746714866228162
-0.437185929648241,"mod3",0.085681945596886,0.0985770125381025,0.0743346073705349
-0.407035175879397,"mod4",0.100160082111661,0.134726530342816,0.0737068024401972
-0.407035175879397,"mod1",0.0772889888945984,0.0802414025808753,0.0744364151498265
-0.407035175879397,"mod3",0.0855025062782392,0.0984380281255853,0.074127051475999
-0.376884422110553,"mod4",0.10009391363404,0.134853184831189,0.073532566769479
-0.376884422110553,"mod1",0.0770956939556001,0.0800924460848478,0.0742020243571997
-0.376884422110553,"mod3",0.085323407681716,0.0982992182994599,0.0739200288363481
-0.346733668341709,"mod4",0.100027784009937,0.134979939811705,0.0733587103559065
-0.346733668341709,"mod1",0.0769028421449281,0.0799437420706218,0.0739683126472126
-0.346733668341709,"mod3",0.0851446493071503,0.0981605829006546,0.0737135383397621
-0.316582914572864,"mod4",0.0999616932229561,0.135106795329173,0.07318523252806
-0.316582914572864,"mod1",0.0767104326480912,0.0797952901994253,0.0737352784235265
-0.316582914572864,"mod3",0.0849662306544895,0.0980221217700705,0.0735075788752875
-0.28643216080402,"mod4",0.0998956412567014,0.135233751428353,0.0730121326149754
-0.28643216080402,"mod1",0.0765184646510809,0.0796470901326069,0.0735029200912028
-0.28643216080402,"mod3",0.0847881512237972,0.0978838347485823,0.0733021493328459
-0.256281407035176,"mod4",0.0998296280947741,0.135360808153959,0.0728394099461471
-0.256281407035176,"mod1",0.0763269373403763,0.0794991415316373,0.0732712360567183
-0.256281407035176,"mod3",0.084610410515257,0.0977457216770384,0.073097248603242
-0.226130653266332,"mod4",0.0997636537207739,0.135487965550655,0.0726670638515324
-0.226130653266332,"mod1",0.0761358499029502,0.0793514440581107,0.0730402247279808
-0.226130653266332,"mod3",0.0844330080291746,0.0976077823962619,0.0728928755781725
-0.195979899497488,"mod4",0.0996977181182993,0.135615223663058,0.0724950936615543
-0.195979899497488,"mod1",0.0759452015262739,0.0792039973737464,0.0728098845143439
-0.195979899497488,"mod3",0.0842559432659815,0.0974700167470512,0.0726890291502341
-0.165829145728643,"mod4",0.0996318212709466,0.135742582535737,0.0723234987071055
-0.165829145728643,"mod1",0.0757549913983229,0.0790568011403896,0.0725802138266221
-0.165829145728643,"mod3",0.0840792157262375,0.0973324245701804,0.0724857082129313
-0.135678391959799,"mod4",0.099565963162311,0.135870042213213,0.0721522783195515
-0.135678391959799,"mod1",0.0755652187075821,0.0789098550200132,0.0723512110771057
-0.135678391959799,"mod3",0.0839028249106337,0.0971950057063998,0.0722829116606851
-0.105527638190955,"mod4",0.0995001437759857,0.135997602739958,0.0719814318307344
-0.105527638190955,"mod1",0.075375882643051,0.0787631586747191,0.0721228746795758
-0.105527638190955,"mod3",0.0837267703199956,0.0970577599964369,0.0720806383888406
-0.0753768844221105,"mod4",0.0994343630955625,0.136125264160395,0.071810958572976
-0.0753768844221105,"mod1",0.0751869823942493,0.0786167117667394,0.0718952030493185
-0.0753768844221105,"mod3",0.0835510514552859,0.0969206872809966,0.0718788872936752
-0.0452261306532664,"mod4",0.0993686211046317,0.136253026518898,0.0716408578790817
-0.0452261306532664,"mod1",0.0749985171512218,0.0784705139584377,0.0716681946031397
-0.0452261306532664,"mod3",0.0833756678176075,0.0967837874007619,0.0716776572724065
-0.0150753768844223,"mod4",0.0993029177867819,0.136380889859795,0.0714711290823433
-0.0150753768844223,"mod1",0.0748104861045437,0.0783245649123106,0.0714418477593794
-0.0150753768844223,"mod3",0.0832006189082061,0.0966470601963946,0.0714769472232001
0.0150753768844218,"mod4",0.0992372531256003,0.13650885422736,0.0713017715165427
0.0150753768844218,"mod1",0.0746228884453257,0.0781788642909889,0.0712161609379261
0.0150753768844218,"mod3",0.0830259042284734,0.0965105055085355,0.0712767560451776
0.0452261306532664,"mod4",0.0991716271046724,0.136636919665822,0.0711327845159556
0.0452261306532664,"mod1",0.0744357233652194,0.0780334117572391,0.0709911325602307
0.0452261306532664,"mod3",0.08285152327995,0.0963741231778057,0.0710770826384239
0.0753768844221105,"mod4",0.0991060397075823,0.136765086219357,0.070964167415354
0.0753768844221105,"mod1",0.074248990056422,0.0778882069739643,0.0707667610493206
0.0753768844221105,"mod3",0.0826774755643276,0.0962379130448064,0.0708779259039956
0.105527638190955,"mod4",0.0990404909179125,0.136893353932096,0.0707959195500101
0.105527638190955,"mod1",0.0740626877116815,0.0777432496042059,0.0705430448298137
0.105527638190955,"mod3",0.0825037605834529,0.0961018749501198,0.0706792847439277
0.135678391959799,"mod4",0.0989749807192443,0.137021722848116,0.0706280402556996
0.135678391959799,"mod1",0.0738768155243018,0.0775985393111449,0.070319982327932
0.135678391959799,"mod3",0.0823303778393294,0.0959660087343099,0.0704811580612422
0.165829145728643,"mod4",0.0989095090951571,0.137150193011445,0.0704605288687046
0.165829145728643,"mod1",0.0736913726881476,0.0774540757581028,0.0700975719715153
0.165829145728643,"mod3",0.0821573268341207,0.0958303142379226,0.0702835447599547
0.195979899497488,"mod4",0.0988440760292292,0.137278764466064,0.0702933847258172
0.195979899497488,"mod1",0.0735063583976496,0.0773098586085433,0.0698758121900348
0.195979899497488,"mod3",0.0819846070701534,0.0956947913014867,0.0700864437450824
0.226130653266332,"mod4",0.0987786815050372,0.137407437255899,0.0701266071643424
0.226130653266332,"mod1",0.0733217718478089,0.0771658875260733,0.0696547014146063
0.226130653266332,"mod3",0.0818122180499196,0.0955594397655142,0.0698898539226511
0.256281407035176,"mod4",0.0987133255061565,0.13753621142483,0.0699601955221017
0.256281407035176,"mod1",0.0731376122342025,0.0770221621744444,0.0694342380780037
0.256281407035176,"mod3",0.0816401592760796,0.095424259470501,0.0696937741997029
0.28643216080402,"mod4",0.0986480080161609,0.137665087016683,0.0697941491374358
0.28643216080402,"mod1",0.0729538787529878,0.076878682217554,0.0692144206146721
0.28643216080402,"mod3",0.0814684302514652,0.0952892502569274,0.0694982034843034
0.316582914572864,"mod4",0.0985827290186228,0.137794064075237,0.0696284673492081
0.316582914572864,"mod1",0.0727705706009073,0.0767354473194467,0.0689952474607407
0.316582914572864,"mod3",0.0812970304790815,0.0951544119652587,0.0693031406855486
0.346733668341709,"mod4",0.0985174884971133,0.137923142644217,0.0694631494968079
0.346733668341709,"mod1",0.0725876869752939,0.0765924571443153,0.0687767170540358
0.346733668341709,"mod3",0.0811259594621107,0.0950197444359458,0.0691085847135723
0.376884422110553,"mod4",0.0984522864352022,0.138052322767299,0.069298194920153
0.376884422110553,"mod1",0.0724052270740751,0.0764497113565023,0.0685588278340937
0.376884422110553,"mod3",0.080955216703914,0.0948852475094255,0.0689145344795532
0.407035175879397,"mod4",0.0983871228164576,0.138181604488106,0.0691336029596933
0.407035175879397,"mod1",0.0722231900957783,0.0763072096205012,0.0683415782421731
0.407035175879397,"mod3",0.0807848017080345,0.0947509210261216,0.068720988895722
0.437185929648241,"mod4",0.0983219976244467,0.138310987850212,0.0689693729564139
0.437185929648241,"mod1",0.0720415752395347,0.0761649516009573,0.068124966721268
0.437185929648241,"mod3",0.0806147139782002,0.094616764826445,0.068527946875368
0.467336683417085,"mod4",0.098256910842735,0.138440472897137,0.0688055042518376
0.467336683417085,"mod1",0.0718603817050848,0.0760229369626697,0.0679089917161199
0.467336683417085,"mod3",0.0804449530183262,0.0944827787507942,0.0683354073328466
0.49748743718593,"mod4",0.0981918624548869,0.138570059672353,0.0686419961880284
0.49748743718593,"mod1",0.0716796086927826,0.0758811653705915,0.0676936516732303
